observation	title	code	cdc_text	edition	version	inactive	effectiveTime	preferred_term
051	Microbiology laboratorians who work frequently with S. typhi	5595000	Salmonella Typhi [organism]	International	20250201	False	None	Salmonella enterica subspecies enterica serovar Typhi
052	Laboratory personnel who might be exposed to YFV	159282002	Laboratory technician [occupation]	International	20250201	False	None	Laboratory technician
052	Laboratory personnel who might be exposed to YFV	24932003	Exposure to [contextual qualifier] [qualifier value]	International	20250201	False	None	Exposure to
052	Laboratory personnel who might be exposed to YFV	26630006	Yellow fever virus [organism]	International	20250201	False	None	Yellow fever virus
053	Rabies researchers	159282002	Laboratory technician [occupation]	International	20250201	False	None	Laboratory technician
053	Rabies researchers	24932003	Exposure to [contextual qualifier] [qualifier value]	International	20250201	False	None	Exposure to
053	Rabies researchers	59881000	Rabies virus [organism]	International	20250201	False	None	Rabies virus
054	Laboratory workers who handle specimens that might contain polioviruses	159282002	Laboratory technician [occupation]	International	20250201	False	None	Laboratory technician
054	Laboratory workers who handle specimens that might contain polioviruses	24932003	Exposure to [contextual qualifier] [qualifier value]	International	20250201	False	None	Exposure to
054	Laboratory workers who handle specimens that might contain polioviruses	44172002	Human poliovirus [organism]	International	20250201	False	None	Human poliovirus
055	Health care personnel	223366009	Healthcare professional [occupation]	International	20250201	False	None	Healthcare professional
056	Health-care workers who have close contact with patients who might be excreting wild polioviruses	223366009	Healthcare professional [occupation]	International	20250201	False	None	Healthcare professional
056	Health-care workers who have close contact with patients who might be excreting wild polioviruses	24932003	Exposure to [contextual qualifier] [qualifier value]	International	20250201	False	None	Exposure to
056	Health-care workers who have close contact with patients who might be excreting wild polioviruses	44172002	Human poliovirus [organism]	International	20250201	False	None	Human poliovirus
057	Public safety worker exposed to blood or infection body fluids	26369006	Public health nurse [occupation]	International	20250201	False	None	Public health nurse
057	Public safety worker exposed to blood or infection body fluids	68867008	Public health dentist [occupation]	International	20250201	False	None	Public health dentist
057	Public safety worker exposed to blood or infection body fluids	307969004	Public health officer [occupation]	International	20250201	False	None	Public health officer
057	Public safety worker exposed to blood or infection body fluids	56466003	Public health physician [occupation]	International	20250201	False	None	Public health physician
057	Public safety worker exposed to blood or infection body fluids	56079002	Public health veterinarian [occupation]	International	20250201	False	None	Public health veterinarian
057	Public safety worker exposed to blood or infection body fluids	60008001	Public health nutritionist [occupation]	International	20250201	False	None	Public health nutritionist
