descendant	ancestor	display
234552000	124950009	Immunoglobulin A2 deficiency
363265005	124950009	Predominant humoral immune deficiency
840472009	124950009	Deficiency of immunoglobulin A with immunoglobulin G subclass deficiency
12631000119106	124950009	Immunoglobulin G deficiency
16894671000119102	124950009	Immunoglobulin G deficiency due to monoclonal gammopathy of undetermined significance
16894711000119103	124950009	Immunoglobulin G deficiency due to multiple myeloma
38046004	127013003	Diffuse glomerulosclerosis of kidney due to diabetes mellitus
63510008	127013003	Nodular type diabetic glomerulosclerosis
197605007	127013003	Nephrotic syndrome due to diabetes mellitus
236499007	127013003	Microalbuminuric diabetic nephropathy
236500003	127013003	Proteinuric nephropathy due to diabetes mellitus
309426007	127013003	Glomerulopathy due to diabetes mellitus
310387003	127013003	Intracapillary glomerulosclerosis of kidney due to diabetes mellitus
311366001	127013003	Kimmelstiel-Wilson syndrome
420279001	127013003	Renal disorder due to type 2 diabetes mellitus
420514000	127013003	Persistent proteinuria due to type 1 diabetes mellitus
420715001	127013003	Persistent microalbuminuria due to type 2 diabetes mellitus
421305000	127013003	Persistent microalbuminuria due to type 1 diabetes mellitus
421893009	127013003	Renal disorder due to type 1 diabetes mellitus
421986006	127013003	Persistent proteinuria due to type 2 diabetes mellitus
425455002	127013003	Diabetic glomerulonephritis
445170001	127013003	Macroalbuminuric nephropathy due to diabetes mellitus
707221002	127013003	Glomerulosclerosis of kidney due to diabetes mellitus
723074006	127013003	Renal papillary necrosis due to diabetes mellitus
792926007	127013003	Armanni-Ebstein kidney due to diabetes mellitus
1332436006	127013003	Hypertension in chronic kidney disease stage 3B due to type 1 diabetes mellitus
1332441003	127013003	Hypertension in chronic kidney disease stage 3A due to type 1 diabetes mellitus
1332442005	127013003	Hypertension in chronic kidney disease stage 3 due to type 1 diabetes mellitus
1332464001	127013003	Hypertension in chronic kidney disease stage 2 due to type 1 diabetes mellitus
1332465000	127013003	Hypertension in chronic kidney disease stage 3B due to type 2 diabetes mellitus
1332466004	127013003	Hypertension in chronic kidney disease stage 3A due to type 2 diabetes mellitus
1332467008	127013003	Hypertension in chronic kidney disease stage 5 due to type 1 diabetes mellitus
1332468003	127013003	Hypertension in chronic kidney disease stage 4 due to type 1 diabetes mellitus
1332469006	127013003	Chronic kidney disease stage 3B due to type 2 diabetes mellitus
1332470007	127013003	Chronic kidney disease stage 3A due to type 2 diabetes mellitus
1332471006	127013003	Chronic kidney disease stage 3B due to type 1 diabetes mellitus
1332472004	127013003	Chronic kidney disease stage 3A due to type 1 diabetes mellitus
711000119100	127013003	Chronic kidney disease stage 5 due to type 2 diabetes mellitus
721000119107	127013003	Chronic kidney disease stage 4 due to type 2 diabetes mellitus
731000119105	127013003	Chronic kidney disease stage 3 due to type 2 diabetes mellitus
741000119101	127013003	Chronic kidney disease stage 2 due to type 2 diabetes mellitus
751000119104	127013003	Chronic kidney disease stage 1 due to type 2 diabetes mellitus
771000119108	127013003	Chronic kidney disease due to type 2 diabetes mellitus
18521000119106	127013003	Microalbuminuria due to type 1 diabetes mellitus
71421000119105	127013003	Hypertension in chronic kidney disease due to type 2 diabetes mellitus
71441000119104	127013003	Nephrotic syndrome due to type 2 diabetes mellitus
71701000119105	127013003	Hypertension in chronic kidney disease due to type 1 diabetes mellitus
71721000119101	127013003	Nephrotic syndrome due to type 1 diabetes mellitus
90721000119101	127013003	Chronic kidney disease stage 1 due to type 1 diabetes mellitus
90731000119103	127013003	Chronic kidney disease stage 2 due to type 1 diabetes mellitus
90741000119107	127013003	Chronic kidney disease stage 3 due to type 1 diabetes mellitus
90751000119109	127013003	Chronic kidney disease stage 4 due to type 1 diabetes mellitus
90761000119106	127013003	Chronic kidney disease stage 5 due to type 1 diabetes mellitus
90771000119100	127013003	End stage renal disease on dialysis due to type 1 diabetes mellitus
90781000119102	127013003	Microalbuminuria due to type 2 diabetes mellitus
90791000119104	127013003	End stage renal disease on dialysis due to type 2 diabetes mellitus
96441000119101	127013003	Chronic kidney disease due to type 1 diabetes mellitus
127991000119101	127013003	Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus
128001000119105	127013003	Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus
140101000119109	127013003	Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus
140111000119107	127013003	Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus
140121000119100	127013003	Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus
140131000119102	127013003	Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus
157141000119108	127013003	Proteinuria due to type 2 diabetes mellitus
243421000119104	127013003	Proteinuria due to type 1 diabetes mellitus
368201000119100	127013003	Disorder of kidney due to drug induced diabetes mellitus
368421000119108	127013003	Chronic kidney disease stage 1 due to drug induced diabetes mellitus
368431000119106	127013003	Chronic kidney disease stage 2 due to drug induced diabetes mellitus
368441000119102	127013003	Chronic kidney disease stage 3 due to drug induced diabetes mellitus
368451000119100	127013003	Chronic kidney disease stage 4 due to drug induced diabetes mellitus
368461000119103	127013003	Chronic kidney disease stage 5 due to drug induced diabetes mellitus
368471000119109	127013003	End stage renal disease on dialysis due to drug induced diabetes mellitus
116810007	12719002	Transfusion of plateletpheresis product
117078000	12719002	Transfusion of platelet concentrate
180208003	12719002	Intravenous blood transfusion of platelets
756003	128238001	Chronic rheumatic myopericarditis
787001	128238001	Rheumatic mitral stenosis with regurgitation
4851007	128238001	Chronic endocarditis
5375005	128238001	Chronic left-sided congestive heart failure
10335000	128238001	Chronic right-sided heart failure
12023003	128238001	Rheumatic disease of aortic valve
16063004	128238001	Rheumatic disease of heart valve
16440002	128238001	Rheumatic disease of mitral AND aortic valves
16855001	128238001	Rheumatic tricuspid valve failure
17759006	128238001	Rheumatic aortic stenosis with regurgitation
18687009	128238001	Rheumatic disease of pulmonary valve
19036004	128238001	Rheumatic heart valve stenosis
22462001	128238001	Chronic bacterial endocarditis
26950008	128238001	Chronic ectopic atrial tachycardia
28284007	128238001	Rheumatic heart valve stenosis with insufficiency
31085000	128238001	Rheumatic mitral regurgitation
34126003	128238001	Rheumatic pulmonary valve insufficiency
40023000	128238001	Rheumatic mitral valve failure
40964007	128238001	Chronic valvulitis
42402006	128238001	Kartagener syndrome
43121002	128238001	Rheumatic heart valve regurgitation
43736008	128238001	Rheumatic left ventricular failure
44993000	128238001	Rheumatic mitral valve and aortic valve stenosis
45093008	128238001	Chronic interstitial myocarditis
46165000	128238001	Chronic rheumatic endocarditis
48447003	128238001	Chronic heart failure
49699002	128238001	Rheumatic disease of tricuspid valve
52048004	128238001	Rheumatic pulmonary valve failure
59464004	128238001	Rheumatic mitral AND aortic valve regurgitation
61012002	128238001	Chronic rheumatic myocarditis
66989003	128238001	Chronic right-sided congestive heart failure
67696008	128238001	Rheumatic tricuspid valve regurgitation
71799002	128238001	Rheumatic mitral valve stenosis AND aortic valve insufficiency
72011007	128238001	Rheumatic aortic stenosis
78031003	128238001	Rheumatic aortic regurgitation
79955004	128238001	Chronic cor pulmonale
81552002	128238001	Rheumatic mitral valve insufficiency and aortic valve stenosis
82523003	128238001	Congestive rheumatic heart failure
83014000	128238001	MacCallum's patch
83898004	128238001	Rheumatic disease of mitral valve
85971001	128238001	Rheumatic pulmonary valve stenosis with insufficiency
86466006	128238001	Rheumatic mitral stenosis
88318005	128238001	Rheumatic tricuspid valve stenosis
88805009	128238001	Chronic congestive heart failure
89456004	128238001	Chronic rheumatic valvulitis
91442002	128238001	Rheumatic pulmonary valve stenosis
91529004	128238001	Rheumatic heart valve failure
92808004	128238001	Chronic degenerative aortic valve disease
111283005	128238001	Chronic left-sided heart failure
194741006	128238001	Rheumatic tricuspid stenosis and insufficiency
233819005	128238001	Stable angina
233880002	128238001	Chronic myocardial disorder caused by chemical or external agent
240077004	128238001	Severe scapuloperoneal muscular dystrophy with cardiomyopathy
250999000	128238001	Rheumatic mitral valve leaflet changes
286947004	128238001	Chronic rheumatic mitral valvulitis
370141003	128238001	Rheumatic mitral AND aortic valve obstruction
371806006	128238001	Progressive angina
413838009	128238001	Chronic ischemic heart disease
413844008	128238001	Chronic myocardial ischemia
424404003	128238001	Decompensated chronic heart failure
425615007	128238001	Chronic atrial flutter
426749004	128238001	Chronic atrial fibrillation
429347004	128238001	Rheumatic aortic valve sclerosis
430396006	128238001	Chronic systolic dysfunction of left ventricle
431896008	128238001	Chronic rejection of cardiac transplant
441481004	128238001	Chronic systolic heart failure
441530006	128238001	Chronic diastolic heart failure
443253003	128238001	Acute on chronic systolic heart failure
443344007	128238001	Acute on chronic diastolic heart failure
445928005	128238001	Eisenmenger's syndrome
470752003	128238001	Progression of fetal right ventricular outflow tract obstruction
470753008	128238001	Progression of fetal left ventricular outflow tract obstruction
698296002	128238001	Acute exacerbation of chronic congestive heart failure
720507006	128238001	Chronic atrial and intestinal dysrhythmia
722890004	128238001	Chronic Chagas disease with heart involvement
725416005	128238001	Cirrhotic cardiomyopathy
763778003	128238001	Larsen-like syndrome B3GAT3 type
788887009	128238001	Chronic viral carditis
871587002	128238001	Myocarditis due to Chaga disease
1148765006	128238001	Chronic rheumatic carditis
1149066008	128238001	Chronic rheumatic pancarditis
1155719000	128238001	Rheumatic mitral valve obstruction
1155721005	128238001	Rheumatic aortic valve obstruction
1179295004	128238001	BVES-related limb girdle muscular dystrophy
1204127004	128238001	Chronic dissection of coronary artery
1296659009	128238001	Acute exacerbation of chronic heart failure
8501000119104	128238001	Hypertensive heart and chronic kidney disease
96701000119107	128238001	Hypertensive heart AND chronic kidney disease on dialysis
96711000119105	128238001	Hypertensive heart AND chronic kidney disease stage 5
96721000119103	128238001	Hypertensive heart AND chronic kidney disease stage 4
96731000119100	128238001	Hypertensive heart AND chronic kidney disease stage 3
96741000119109	128238001	Hypertensive heart AND chronic kidney disease stage 2
96751000119106	128238001	Hypertensive heart AND chronic kidney disease stage 1
117051000119103	128238001	Chronic total occlusion of coronary artery
153941000119100	128238001	Chronic combined systolic and diastolic heart failure
153951000119103	128238001	Acute on chronic combined systolic and diastolic heart failure
286011000119101	128238001	Rheumatic mitral valve annular calcification
286031000119106	128238001	Rheumatic mitral valve prolapse
10757401000119104	128238001	Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth
10757481000119107	128238001	Pre-existing hypertensive heart and chronic kidney disease in mother complicating pregnancy
16754391000119100	128238001	Stable angina due to coronary arteriosclerosis
16838951000119100	128238001	Acute on chronic right-sided congestive heart failure
756003	128292002	Chronic rheumatic myopericarditis
787001	128292002	Rheumatic mitral stenosis with regurgitation
4851007	128292002	Chronic endocarditis
5375005	128292002	Chronic left-sided congestive heart failure
8214000	128292002	Telangiectasia macularis eruptiva perstans
8218002	128292002	Chronic hypertension complicating AND/OR reason for care during childbirth
8762007	128292002	Chronic hypertension in obstetric context
10335000	128292002	Chronic right-sided heart failure
12023003	128292002	Rheumatic disease of aortic valve
16063004	128292002	Rheumatic disease of heart valve
16440002	128292002	Rheumatic disease of mitral AND aortic valves
16855001	128292002	Rheumatic tricuspid valve failure
17759006	128292002	Rheumatic aortic stenosis with regurgitation
18687009	128292002	Rheumatic disease of pulmonary valve
19036004	128292002	Rheumatic heart valve stenosis
22462001	128292002	Chronic bacterial endocarditis
23627006	128292002	Chronic pericarditis
23685000	128292002	Rheumatic heart disease
24001002	128292002	Chronic gastrojejunal ulcer with hemorrhage, with perforation and with obstruction
24042004	128292002	Chronic hypertension complicating AND/OR reason for care during puerperium
26950008	128292002	Chronic ectopic atrial tachycardia
27017003	128292002	Chronic effusive pericarditis
28284007	128292002	Rheumatic heart valve stenosis with insufficiency
31085000	128292002	Rheumatic mitral regurgitation
34126003	128292002	Rheumatic pulmonary valve insufficiency
34736002	128292002	Chronic passive congestion of liver
37618003	128292002	Chronic hypertension complicating AND/OR reason for care during pregnancy
37980001	128292002	Concato's disease
39244004	128292002	Pericarditis secondary to myxedema
39402007	128292002	Pelvic congestion syndrome
40023000	128292002	Rheumatic mitral valve failure
40964007	128292002	Chronic valvulitis
42402006	128292002	Kartagener syndrome
42999000	128292002	Chronic adhesive pericarditis
43121002	128292002	Rheumatic heart valve regurgitation
43736008	128292002	Rheumatic left ventricular failure
44993000	128292002	Rheumatic mitral valve and aortic valve stenosis
45093008	128292002	Chronic interstitial myocarditis
45256007	128292002	Cruveilhier-Baumgarten syndrome
45639009	128292002	Hereditary cerebral amyloid angiopathy, Icelandic type
45640006	128292002	Chronic gastrojejunal ulcer with hemorrhage and perforation
46165000	128292002	Chronic rheumatic endocarditis
46523000	128292002	Chronic gastrojejunal ulcer with hemorrhage and with perforation but without obstruction
48447003	128292002	Chronic heart failure
49699002	128292002	Rheumatic disease of tricuspid valve
51147005	128292002	Chronic vascular insufficiency
